file_name,MFCC_1_mean,MFCC_1_std,MFCC_2_mean,MFCC_2_std,MFCC_3_mean,MFCC_3_std,MFCC_4_mean,MFCC_4_std,MFCC_5_mean,MFCC_5_std,MFCC_6_mean,MFCC_6_std,MFCC_7_mean,MFCC_7_std,MFCC_8_mean,MFCC_8_std,MFCC_9_mean,MFCC_9_std,MFCC_10_mean,MFCC_10_std,MFCC_11_mean,MFCC_11_std,MFCC_12_mean,MFCC_12_std,MFCC_13_mean,MFCC_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,zcr_mean,hnr_librosa,clase
100-a_h-egg.egg,-185.50542,20.692152,144.80138,15.659366,19.833162,7.7557707,29.489618,9.014583,11.241155,7.651878,17.511095,7.7985344,11.117795,9.309048,5.948832,7.1185737,3.4399307,6.612552,3.0548477,5.9074645,1.5114559,5.608986,0.60451406,3.9863605,-3.2941697,4.1931767,1829.9654974112248,238.8605324321692,0.00028638178,0.0075937906901041,17.318941,0
100-a_l-egg.egg,-230.49146,5.072727,119.30199,3.953805,38.484715,3.6866126,38.075672,3.849439,11.1896515,3.036151,21.687103,3.1208751,8.782449,3.0182514,10.06882,2.528676,9.934383,2.733383,3.6126442,2.6995869,6.25768,2.8970797,4.095573,2.6473155,2.4360552,2.2274175,3066.2903489578152,201.29061942062688,0.0013789199,0.0069438135901162,17.89876,0
100-a_lhl-egg.egg,-173.88676,13.445156,151.55225,6.3283534,20.95366,12.0291815,24.332262,7.403863,2.9941528,4.818215,16.309738,5.602988,10.4835415,5.559412,7.0140285,5.940856,-0.23048384,5.1949215,1.662137,4.3955817,3.5982566,3.8688157,-0.7740776,4.0579185,-0.33889577,3.153609,1885.260617955718,160.44186082083112,0.00034754016,0.0060204574742268,21.941544,0
100-a_n-egg.egg,-197.67224,11.614971,146.24266,2.4992208,40.272476,3.690264,36.609818,2.1048076,12.101296,2.5345194,20.205242,2.4883037,6.264273,2.707999,5.67487,2.337959,6.7761126,2.6481583,3.246622,2.7587597,-0.04148862,2.1937847,-1.6201614,2.2913318,0.3687035,2.849678,1965.480337667008,184.0975987894538,0.00042881627,0.0044366244612068,22.377645,0
100-iau-egg.egg,-235.50636,48.311264,103.954315,42.652985,19.247879,16.021564,29.61675,9.8355055,9.0011015,6.1577945,20.136093,5.0231075,9.420074,5.70201,9.090231,4.729379,8.803127,5.6673527,4.805075,4.935671,5.7143764,5.17884,4.545321,5.477932,3.274801,4.7270646,3616.234007973844,2004.07972541982,0.00699851,0.0189087301587301,17.560066,0
100-i_h-egg.egg,-164.17029,12.853074,145.89604,5.0099425,-2.8486204,8.083343,21.0972,4.3896165,16.097174,4.5646,15.910963,3.536049,3.70248,2.2306254,6.4202814,2.6889575,2.1504786,2.3810916,0.19012448,2.380991,0.92371696,2.3166983,-1.1118958,2.0682678,-1.472836,2.321011,1891.403309656271,165.6371326725018,0.00033299727,0.0072318412162162,24.65514,0
100-i_l-egg.egg,-227.0758,5.0138526,121.5016,2.9352953,37.91838,4.163649,38.56981,3.1629503,12.681217,2.39912,22.809084,2.574387,12.470239,3.0048509,9.831489,2.877919,10.852016,2.3703344,5.7153397,2.6941724,6.096507,2.4974537,6.164465,2.5136847,4.4088426,3.2396197,2624.935785852633,124.91831791663674,0.00075347495,0.0053938045058139,20.408915,0
100-i_lhl-egg.egg,-179.48775,12.732192,143.8194,3.4611285,15.415011,11.92954,24.892277,4.733186,8.053686,4.1574287,16.788649,3.1667068,5.481251,3.5853963,6.465871,3.4300609,4.054455,2.915593,0.37315628,2.4895482,0.9336568,3.0853252,0.3920124,2.5074983,-0.18027899,2.2912326,2037.385187860228,159.8437182840128,0.00039579216,0.0061949118589743,23.445587,0
100-i_n-egg.egg,-206.1986,7.1469107,138.91805,2.7171779,37.144882,2.2519221,35.069893,2.1503978,10.258648,2.8174098,19.483253,2.0802784,6.8462267,2.4709935,6.784301,2.0977762,7.352175,2.4296532,2.6031814,3.0130167,0.7763012,2.5002387,-1.4515665,2.469156,-2.070733,2.9779909,2090.920528271802,85.4580126651025,0.00039347826,0.0051651000976562,24.28045,0
100-u_h-egg.egg,-191.2138,17.413933,137.62354,4.805809,11.56112,6.911103,16.393988,4.032501,10.377487,3.6723337,24.455273,4.1909494,4.9809036,2.3172333,3.4494834,3.0653543,4.621121,3.4883852,-0.5549825,2.3625193,-0.5912849,2.032201,-1.8088323,2.4345865,-1.9857122,2.3466415,2157.596106767968,202.56968283235545,0.00048164773,0.0075539981617647,26.11528,0
100-u_l-egg.egg,-242.80573,7.987097,107.01195,5.0002136,36.27893,2.7875566,46.29811,3.258249,15.856228,2.399929,24.398169,2.5396752,20.60501,2.7421334,14.56094,3.3360245,13.343447,2.8176808,10.025629,2.6319616,7.217673,3.8815713,8.0606365,4.064607,5.2913632,3.4998286,2624.9502586359063,179.50745270026997,0.0006532435,0.0063802083333333,22.497433,0
100-u_lhl-egg.egg,-195.16171,10.325131,139.69873,4.3229575,22.963741,9.452444,22.110102,6.1061535,5.079058,3.4484007,20.864681,2.9601293,8.793857,4.090695,7.274615,4.3478985,4.5222707,3.0063376,1.853816,2.6150348,3.243256,3.5383196,-0.12794109,2.293344,0.37260565,2.2485209,2212.909702145315,135.30541240052634,0.00049603416,0.0064980996621621,21.366856,0
100-u_n-egg.egg,-218.31206,5.1092305,131.34807,2.657068,41.291264,2.6119804,39.176056,2.930201,12.544176,2.9319732,21.751307,2.5365355,7.821336,2.644246,8.486463,2.184383,8.122815,2.3054838,3.2744472,2.468183,3.1982982,2.4578393,2.3604875,2.659545,3.2151985,2.6143687,2263.15623622488,71.2536011724704,0.00045571377,0.0050482631714876,23.918123,0
1000-a_h-egg.egg,-135.20059,2.571181,142.82298,2.3885124,11.365641,2.6396992,17.196346,2.5630844,17.731867,1.6706309,17.409464,2.0573738,7.4325,1.7442389,8.666,1.5162464,3.7311885,1.6800383,3.2319064,1.6201271,1.1502793,1.8238924,1.4504397,1.7297733,0.1039753,1.8559813,2482.562088224986,70.71446723482848,0.00083463173,0.0085983276367187,23.526175,0
1000-a_l-egg.egg,-150.98892,3.3288674,140.07507,1.6427051,24.886362,3.086765,18.776037,2.045086,11.869931,2.2564368,17.48429,1.9915131,7.575067,1.8423073,5.5568976,1.6889752,3.9894948,1.723043,2.0035279,1.7226582,-0.35473838,2.0161977,0.021438487,2.0509758,-1.3637322,1.6210811,2804.1765678122997,87.65274881046761,0.001269731,0.0092710024350649,20.008524,0
1000-a_lhl-egg.egg,-155.06482,20.218414,139.09708,13.567524,34.606438,10.669358,29.282276,12.630186,14.671614,7.7066407,17.418194,3.4594789,9.549258,4.074194,5.83839,3.8959322,2.34535,4.177732,5.061392,3.3410153,4.720984,3.2553017,4.6410246,4.1171875,2.6829102,3.205256,2372.516908934201,275.63104047655764,0.0008058524,0.0081040111940298,15.134677,0
1000-a_n-egg.egg,-154.28593,3.1965094,143.19875,2.1442022,35.51431,3.630931,19.617817,3.400924,5.1477957,2.717546,15.246767,2.605431,11.387654,2.0409827,7.425641,2.427422,3.249556,1.755461,5.3066406,2.054721,3.9387472,1.8487564,2.6784465,2.0730052,2.0863068,1.7562844,2634.2547858439166,94.3217848788297,0.0010384761,0.0078212978603603,18.046711,0
1000-iau-egg.egg,-211.31546,45.537537,85.176346,41.914677,17.194254,14.78322,25.814327,6.899588,13.03274,4.8273826,17.068413,3.8486803,11.612169,3.8680282,11.321179,4.285049,8.218853,4.6270223,8.081999,4.6560326,6.1101236,4.4422975,6.2270603,4.3124676,4.6447506,4.1699624,5298.172336013947,2367.0351894765768,0.02927408,0.0508068754472805,16.683146,0
1000-i_h-egg.egg,-144.47115,11.308557,137.14368,3.7819364,13.639088,9.355675,15.308672,3.4472728,13.112652,5.601832,18.479128,3.0868542,9.555512,3.9233642,7.158198,2.3390934,4.749322,2.8283815,5.959131,2.3319674,4.2920275,1.9701527,4.7161684,2.211005,3.2096205,2.4992,2530.812885907209,118.1993708457214,0.00074193405,0.0080244462568681,23.452436,0
1000-i_l-egg.egg,-167.32632,12.138322,134.5889,6.1083417,42.640537,8.572094,30.914585,6.326317,8.00442,3.9976022,12.828173,3.4419153,11.47245,3.095931,10.017036,2.488152,3.112235,2.9175344,1.7013171,2.545934,0.75330806,2.032871,1.5883089,2.2552137,-0.40487152,2.5303485,2657.665635633892,118.1258405334847,0.0008547722,0.0085415310329861,20.11245,0
1000-i_lhl-egg.egg,-142.11949,15.571685,141.08447,7.6681004,19.647524,13.97379,20.074152,6.632491,13.493578,4.215361,16.00853,4.248122,8.421493,2.9832697,9.168119,2.4881983,5.821696,2.6626456,4.81401,1.8237673,2.5950587,2.0971513,3.3207314,1.976062,1.2097797,1.8258125,2397.04254691764,179.74579489021616,0.0007465896,0.0077892485119047,18.309324,0
1000-i_n-egg.egg,-175.24219,7.5265346,124.758224,4.1452084,36.205887,4.1874285,31.169405,3.624337,13.572509,2.5182803,15.893982,2.5053265,9.287429,2.6158795,8.237218,2.2436607,4.7928123,2.116989,4.4652414,2.244288,2.56372,1.9752907,2.9315224,2.1747448,2.2729185,1.8692029,3100.2204002046774,165.27065600107423,0.0012823074,0.0088529736583769,20.425493,0
1000-u_h-egg.egg,-179.6055,3.590226,112.41773,4.080442,18.68,2.7518072,19.789616,2.6664326,11.664012,3.4176319,16.576435,2.1889856,8.468884,2.3167312,8.085202,2.2948318,5.2213707,2.2860107,4.525492,2.2473404,3.273963,2.1610618,3.3501112,2.0255022,1.4896293,2.3987296,3851.84715311481,173.9448006412506,0.0028764885,0.0114859271523178,20.858284,0
